src_rank,dst_rank,direction,msg_bytes,iters,avg_rtt_seconds,latency_seconds,bandwidth_MBps
0,7,a->b,65536,100,2.29838699988e-05,1.14919349994e-05,5702.78199479
0,7,b->a,65536,100,2.31114100006e-05,1.15557050003e-05,5671.3112699
0,7,a->b,131072,100,4.40988199989e-05,2.20494099995e-05,5944.46744848
0,7,b->a,131072,100,4.39618599989e-05,2.19809299995e-05,5962.98700752
0,7,a->b,262144,100,8.65999400003e-05,4.32999700001e-05,6054.13814373
0,7,b->a,262144,100,8.62093899991e-05,4.31046949996e-05,6081.56489688
0,7,a->b,524288,100,0.000162497399999,8.12486999996e-05,6452.8786307
0,7,b->a,524288,100,0.000163960330001,8.19801650005e-05,6395.30305894
0,7,a->b,1048576,100,0.000313005790001,0.000156502895001,6700.04219408
0,7,b->a,1048576,100,0.000311766,0.000155883,6726.68604018
0,7,a->b,2097152,100,0.000614389499999,0.00030719475,6826.78333534
0,7,b->a,2097152,100,0.00061517802,0.00030758901,6818.03293297
0,7,a->b,4194304,100,0.00122442496,0.00061221248,6851.05929235
0,7,b->a,4194304,100,0.00122812363,0.000614061814999,6830.42634723
0,7,a->b,8388608,100,0.00242520037,0.001212600185,6917.8679863
0,7,b->a,8388608,100,0.00242465872,0.00121232936,6919.4133845
