src_rank,dst_rank,method,direction,locality,msg_bytes,iters,avg_rtt_seconds,latency_seconds,bandwidth_MBps,send_call_total_seconds
0,1,send,a->b,intranode,8192,100,4.27693999995e-06,2.13846999998e-06,3830.7762092,0.000265313999904
0,1,send,b->a,intranode,8192,100,4.16922999989e-06,2.08461499994e-06,3929.74242257,0.000253348000285
0,1,isend,a->b,intranode,8192,100,4.17916000004e-06,2.08958000002e-06,3920.40505744,2.94159999044e-05
0,1,isend,b->a,intranode,8192,100,4.13396999988e-06,2.06698499994e-06,3963.26049789,2.80660001977e-05
0,1,bsend,a->b,intranode,8192,100,5.22965999977e-06,2.61482999989e-06,3132.89965327,0.000145047999979
0,1,bsend,b->a,intranode,8192,100,4.98419000024e-06,2.49209500012e-06,3287.19410761,0.000128718999946
0,1,ssend,a->b,intranode,8192,100,5.75064000003e-06,2.87532000002e-06,2849.07418999,0.000318846000027
0,1,ssend,b->a,intranode,8192,100,5.94662000026e-06,2.97331000013e-06,2755.17857191,0.000313840000047
0,1,send,a->b,intranode,16384,100,6.41410999975e-06,3.20705499988e-06,5108.73683196,0.000365754000029
0,1,send,b->a,intranode,16384,100,6.42513000003e-06,3.21256500001e-06,5099.97463084,0.000374154000014
0,1,isend,a->b,intranode,16384,100,6.38425000005e-06,3.19212500003e-06,5132.63108427,2.78699998262e-05
0,1,isend,b->a,intranode,16384,100,6.45068000011e-06,3.22534000006e-06,5079.77453531,2.8119000234e-05
0,1,bsend,a->b,intranode,16384,100,8.18549000002e-06,4.09274500001e-06,4003.18123899,0.000239831999977
0,1,bsend,b->a,intranode,16384,100,8.33586999988e-06,4.16793499994e-06,3930.96341479,0.00023418300006
0,1,ssend,a->b,intranode,16384,100,9.1444100002e-06,4.5722050001e-06,3583.39138329,0.000493780999903
0,1,ssend,b->a,intranode,16384,100,9.1755699998e-06,4.5877849999e-06,3571.22227837,0.000480398999997
0,1,send,a->b,intranode,32768,100,1.11530299998e-05,5.57651499989e-06,5876.07134575,0.00059628799994
0,1,send,b->a,intranode,32768,100,1.12220599999e-05,5.61102999995e-06,5839.92600294,0.000620606000012
0,1,isend,a->b,intranode,32768,100,1.10931200001e-05,5.54656000006e-06,5907.80591929,2.73649997951e-05
0,1,isend,b->a,intranode,32768,100,1.10663700002e-05,5.5331850001e-06,5922.08646546,2.81670000106e-05
0,1,bsend,a->b,intranode,32768,100,1.370839e-05,6.85419500002e-06,4780.72187907,0.000443582000031
0,1,bsend,b->a,intranode,32768,100,1.38877399999e-05,6.94386999996e-06,4718.98235425,0.000432457000102
0,1,ssend,a->b,intranode,32768,100,1.58430599998e-05,7.92152999992e-06,4136.57462641,0.000825481000163
0,1,ssend,b->a,intranode,32768,100,1.59520700001e-05,7.97603500004e-06,4108.30694698,0.000835014000131
0,1,send,a->b,intranode,65536,100,2.03669699999e-05,1.0183485e-05,6435.51789983,0.00105051900007
0,1,send,b->a,intranode,65536,100,2.03554500001e-05,1.01777250001e-05,6439.16002836,0.00108956700004
0,1,isend,a->b,intranode,65536,100,2.01206999998e-05,1.00603499999e-05,6514.28628236,2.77610000126e-05
0,1,isend,b->a,intranode,65536,100,2.01086800001e-05,1.00543400001e-05,6518.1802087,2.84019999697e-05
0,1,bsend,a->b,intranode,65536,100,2.46840900002e-05,1.23420450001e-05,5309.97901884,0.000796696000123
0,1,bsend,b->a,intranode,65536,100,2.45708700001e-05,1.22854350001e-05,5334.446847,0.000812255000085
0,1,ssend,a->b,intranode,65536,100,2.829005e-05,1.4145025e-05,4633.14840378,0.00145195300007
0,1,ssend,b->a,intranode,65536,100,2.83928500002e-05,1.41964250001e-05,4616.37348836,0.0014603190001
0,1,send,a->b,intranode,131072,100,3.800455e-05,1.9002275e-05,6897.70040692,0.00190076899997
0,1,send,b->a,intranode,131072,100,3.80286000001e-05,1.90143e-05,6893.33817178,0.00200953100017
0,1,isend,a->b,intranode,131072,100,3.803901e-05,1.9019505e-05,6891.45169657,2.86410000285e-05
0,1,isend,b->a,intranode,131072,100,3.801517e-05,1.9007585e-05,6895.77345044,2.95709999989e-05
0,1,bsend,a->b,intranode,131072,100,4.58726300002e-05,2.29363150001e-05,5714.60585536,0.001504141
0,1,bsend,b->a,intranode,131072,100,4.575571e-05,2.2877855e-05,5729.20844196,0.00151423700009
0,1,ssend,a->b,intranode,131072,100,3.80123599999e-05,1.90061799999e-05,6896.28320896,0.00194472200002
0,1,ssend,b->a,intranode,131072,100,3.905605e-05,1.9528025e-05,6711.99468456,0.00197076599991
0,1,send,a->b,intranode,262144,100,7.289015e-05,3.6445075e-05,7192.85116028,0.00367347799991
0,1,send,b->a,intranode,262144,100,7.250443e-05,3.6252215e-05,7231.11677452,0.00372025299993
0,1,isend,a->b,intranode,262144,100,7.304936e-05,3.652468e-05,7177.17444753,2.82909999783e-05
0,1,isend,b->a,intranode,262144,100,7.28598000001e-05,3.64299e-05,7195.84736713,2.86999999162e-05
0,1,bsend,a->b,intranode,262144,100,8.559053e-05,4.2795265e-05,6125.53748645,0.00269887300004
0,1,bsend,b->a,intranode,262144,100,8.573351e-05,4.2866755e-05,6115.32176859,0.0027995370001
0,1,ssend,a->b,intranode,262144,100,7.1859e-05,3.59295e-05,7296.06590685,0.0036463430001
0,1,ssend,b->a,intranode,262144,100,7.29018800001e-05,3.64509400001e-05,7191.69382187,0.0036624039999
0,1,send,a->b,intranode,524288,100,0.00014197797,7.0988985e-05,7385.48381837,0.00708195500002
0,1,send,b->a,intranode,524288,100,0.00014082708,7.04135399999e-05,7445.84067213,0.00710264399999
0,1,isend,a->b,intranode,524288,100,0.00014180905,7.09045249999e-05,7394.28125356,4.2537999974e-05
0,1,isend,b->a,intranode,524288,100,0.00014152982,7.07649100001e-05,7408.86973501,3.80609999695e-05
0,1,bsend,a->b,intranode,524288,100,0.00016840538,8.42026900001e-05,6226.49941468,0.00532205900009
0,1,bsend,b->a,intranode,524288,100,0.00016850157,8.42507850001e-05,6222.94498501,0.00537469600016
0,1,ssend,a->b,intranode,524288,100,0.00014040668,7.020334e-05,7468.13470698,0.0070949589998
0,1,ssend,b->a,intranode,524288,100,0.00014175625,7.0878125e-05,7397.03540408,0.00707666899999
0,1,send,a->b,intranode,1048576,100,0.00027357549,0.000136787745,7665.71596015,0.0134823349998
0,1,send,b->a,intranode,1048576,100,0.000272736,0.000136368,7689.31127537,0.0138345480001
0,1,isend,a->b,intranode,1048576,100,0.00027360164,0.00013680082,7664.98329469,3.91140002876e-05
0,1,isend,b->a,intranode,1048576,100,0.00027265704,0.00013632852,7691.53805821,3.86580000225e-05
0,1,bsend,a->b,intranode,1048576,100,0.00033143514,0.00016571757,6327.48838883,0.0105818960002
0,1,bsend,b->a,intranode,1048576,100,0.00033236349,0.000166181745,6309.81459485,0.0105862350003
0,1,ssend,a->b,intranode,1048576,100,0.00028386648,0.00014193324,7387.81134003,0.014320619
0,1,ssend,b->a,intranode,1048576,100,0.00028556652,0.00014278326,7343.83008204,0.0142615210001
0,1,send,a->b,intranode,2097152,100,0.0005354469,0.00026772345,7833.27721199,0.0262835959999
0,1,send,b->a,intranode,2097152,100,0.00053730464,0.00026865232,7806.1935218,0.027377042
0,1,isend,a->b,intranode,2097152,100,0.00053692693,0.000268463465,7811.68491586,3.79419999206e-05
0,1,isend,b->a,intranode,2097152,100,0.00053768477,0.000268842385,7800.67473364,3.85959999107e-05
0,1,bsend,a->b,intranode,2097152,100,0.00065783589,0.000328917945,6375.91238751,0.0207139439999
0,1,bsend,b->a,intranode,2097152,100,0.00066092687,0.000330463435,6346.09393321,0.0210819460001
0,1,ssend,a->b,intranode,2097152,100,0.00056477053,0.000282385265,7426.56313884,0.0284742529999
0,1,ssend,b->a,intranode,2097152,100,0.00056903024,0.00028451512,7370.96854466,0.02865175
0,1,send,a->b,intranode,4194304,100,0.00104962652,0.00052481326,7991.99319011,0.0514593379999
0,1,send,b->a,intranode,4194304,100,0.00106276013,0.000531380065,7893.22798551,0.054113475
0,1,isend,a->b,intranode,4194304,100,0.00106947191,0.000534735955,7843.6917525,3.73409998815e-05
0,1,isend,b->a,intranode,4194304,100,0.00107085964,0.00053542982,7833.52709044,3.80589999907e-05
0,1,bsend,a->b,intranode,4194304,100,0.00132630072,0.00066315036,6324.81598894,0.0403502549998
0,1,bsend,b->a,intranode,4194304,100,0.00133009804,0.00066504902,6306.7591619,0.043197536
0,1,ssend,a->b,intranode,4194304,100,0.00113362031,0.000566810155,7399.83919307,0.057055429
0,1,ssend,b->a,intranode,4194304,100,0.00113833349,0.000569166745,7369.20074275,0.057101622
0,1,send,a->b,intranode,8388608,100,0.00212292841,0.001061464205,7902.86470376,0.104701971
0,1,send,b->a,intranode,8388608,100,0.0022414822,0.0011207411,7484.87585581,0.109284485
0,1,isend,a->b,intranode,8388608,100,0.00227233514,0.00113616757,7383.24893396,3.40759999915e-05
